Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2017.A6.098.18A,Employing People with Disabilities in the Hong Kong Hotel Industry: Perspectives of Employers,"Dr Mehmet Ali
KOSEOGLU",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.098.18A_Final Report_Dr Koseoglu.pdf,2018-19 (First Round),12,120175,Livelihood Issues,
2017.A6.100.18A,Examining Cross-national Destination Image of Hong Kong with Big Data Analytics and Social and Cultural Distance,Dr LEE Jinsoo,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.100.18A_Final Report_Dr Lee.pdf,2018-19 (First Round),18,320049,Economic Development,https://www.cepu.gov.hk/doc/en/Data Set_2017.A6.100.18A.zip
2017.A8.069.18A,Re-establishing Ferry’s Key Position in the Sustainable Transport System of Hong Kong,"Prof LOO Pui Ying,
Becky",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.069.18A_Final Report_Prof Loo.pdf,2018-19 (First Round),21,810049,Others,
2017.A8.072.18A,Ambient Ozone Levels in Hong Kong: The Lower The Better?,Dr TIAN Linwe,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.072.18A_Final Report_Dr Tian.pdf,2018-19 (First Round),12,500000,Environmental Protection,
2017.A2.027.18B,Engaging the Community to Develop a Model for Sustainable Energy Futures: A Case Study of Two Prospective Solar Communities in Hong Kong,"Dr MAH Ngar Yin, Daphne",Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A2.027.18B_Final Report_Dr Mah.pdf,2018-19 (Second Round),15,632500,"Political Development and Governance, Environmental Protection, Others",https://www.cepu.gov.hk/doc/en/Data Set_2017.A2.027.18B.zip
2017.A5.034.18B,How to Increase the Demand for Private Long-term Care Insurance in Hong Kong?,"Dr HE Jingwei, Alex",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A5.034.18B_Final Report_Dr He.pdf,2018-19 (Second Round),24,1086951,Livelihood Issues,
2017.A6.102.18B,An Analytical Study on Preferences of the Elderly in Visiting Public Open Spaces,"Dr YUNG Hiu Kwan, Esther",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.102.18B_Final Report_Dr Yung.pdf,2018-19 (Second Round),15,380944,Livelihood Issues,https://www.cepu.gov.hk/doc/en/Data Set_2017.A2.027.18B.zip
2017.A6.104.18B,Made in China 2025: The Challenges and Opportunities of the Hong Kong Design Industry,"Dr LIU Xihui, Sylvia",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.104.18B_Final Report_Dr Liu.pdf,2018-19 (Second Round),12,501070,Economic Development,
2017.A6.107.18B,Simulating the Impact of Construction Industrialization Policies on Its Update in Hong Kong: A Socio-technical System Perspective,"Prof SHEN Qiping,
Geoffrey",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A6.107.18B_Final Report_Prof Shen.pdf,2018-19 (Second Round),24,625600,Economic Development,
2017.A8.075.18B,"Hong Kong Youths' Attitudes Towards Suicide, Copying Strategies and Online Help-seeking",Prof LAM Tai Pong,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.075.18B_Final Report_Prof Lam.pdf,2018-19 (Second Round),18,880918,Youth Development,
2017.A8.076.18B,Defining Sonhood: The Exploration of Lived Experience of the Caregiving Sons in Their Late Adulthood in Hong Kong,"Dr LOU Weiqun, Vivian",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.076.18B_Final Report_Dr Lou.pdf,2018-19 (Second Round),18,607582,Livelihood Issues,
2018.A5.041.18C,"Challenges and Opportunities with Hong Kong Students' Science, Technology, Engineering, and Mathematics Aspirations","Prof SO Wing Mui, Winnie",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A5.041.18C_Final Report_Prof So.pdf,2018-19 (Third Round),15,784300,Youth Development,
2018.A6.110.18C,"An Investigation of the Price and Rental Effects of ""Green"" Buildings in Hong Kong's Housing Market and Its Implications for Policy","Prof HUI Chi Man, Eddie",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A6.110.18C_Final Report_Prof Hui.pdf,2018-19 (Third Round),15,422740,Environmental Protection,
2018.A6.111.18C,Strategies and Measures for Construction and Demolition Waste Management of Refurbishing/Renovating Existing Buildings in Hong Kong,"Dr YU Tit Wan, Ann",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A6.111.18C_Final Report_Dr Yu.pdf,2018-19 (Third Round),15,605015,Environmental Protection,
2018.A6.113.18C,"Impact of Short-term Study in Mainland China Programme on Hong Kong Local University Students' Intercultural Competence, Perception and Attitude about Mainland China, and National Identity",Dr YU Lu,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A6.113.18C_Final Report_Dr Yu.pdf,2018-19 (Third Round),21,594435,Youth Development,
2017.A8.073.18C,"Promoting Science, Technology, Engineering, and Mathematics Education in Hong Kong: Using Analytics-supported E-learning to Enhance Student Attitudes and Achievement in Science",Dr CHEN Gaowei,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2017.A8.073.18C_Final Report_Dr Chen.pdf,2018-19 (Third Round),28,575170,Application of Innovation and Technology,
2018.A4.048.18D,Are Cities in Guangdong-Hong Kong-Macao Bay Area Development Attractive to University Students in Hong Kong? From Perceived Image to Locational Decisions,"Prof CHAN Chung Shing,
Johnson",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A4.048.18D_Final Report_Prof Chan.pdf,2018-19 (Fourth Round),15,399044,Economic Development,
2018.A4.049.18D,Meso-institution as Agent of Social Mobilization and Consensus Building: The Case of Tongxianghui,"Dr ZHENG Wan Tai, Victor",The Chinese University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A4.049.18D_Final Report_Dr Zheng.pdf,2018-19 (Fourth Round),12,550000,Political Development and Governance,
2018.A4.051.18D,A Study on the View of Hong Kong Parents on Secondary Use of Dried Blood Spots in Newborn Screening Program - Implications on Evidence-based Policies,Dr HUI Lai Ling,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A4.051.18D_Final Report_Dr Hui.pdf,2018-19 (Fourth Round),21,865398,Livelihood Issues,
2018.A6.118.18D,Investigating the Potential for Robotic Technology Adoption in the Hong Kong Tourism Industry,Dr Norman AU,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A6.118.18D_Final Report_Dr Au.pdf,2018-19 (Fourth Round),12,292019,Economic Development,
2018.A7.013.18D,Trans-regional Air Pollution Control in the Guangdong-Hong Kong-Macau Greater Bay Area: The Interplay between Science and Policy,Prof WU Xun,The Hong Kong University of Science and Technology,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A7.013.18D_Final Report_Prof Wu.pdf,2018-19 (Fourth Round),19,631966,"Political Development and Governance, Environmental Protection",
2018.A8.078.18D,"""Finding the Needles in a Haystack"": Identification of the Illegal Dumping of Construction Waste Using Big Data","Dr LU Weisheng, Wilson",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2018.A8.078.18D_Final Report_Dr Lu.pdf,2018-19 (Fourth Round),18,447350,Environmental Protection,
2019.A2.033.19A,"How Can the United Kingdom's Elite Sport Success Inspire Elite Sport Policy in Hong Kong: The Cases of Cycling, Swimming and Taekwondo","Prof LAU Wing Chung, Patrick",Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A2.033.19A_Final Report_Prof Lau.pdf,2019-20 (First Round),15.5,601432,Others,
2019.A4.054.19A,Education as Soft Power: Hong Kong-trained Non-local University Students' Connections and Their Career Plan in Hong Kong,"Dr ZHENG Wan Tai, Victor",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A4.054.19A_Final Report_Dr Zheng.pdf,2019-20 (First Round),12,495559,"Economic Development, Livelihood Issues",
2019.A5.047.19A,Investigating Space in Kindergartens under the Free Quality Kindergarten Education Scheme,"Dr YUEN Wai Kwan, Gail",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.047.19A_Final Report_Dr Yuen.pdf,2019-20 (First Round),17,537050,Others,
2019.A5.052.19A,The Long March towards Professionalization: Study of Chinese Medicine Practitioners' Attitudes towards Professional Development in Hong Kong,"Prof CHIU Wing Kai, Stephen",The Education University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/tc/research_report(PDF)/2019.A5.052.19A_Final Report_Prof Chiu.pdf,2019-20 (First Round),15,741761,Livelihood Issues,
2019.A8.083.19A,Stalking: Intimate Partner Violence and Debt Collection Problems in Hong Kong,"Prof John
BACON SHONE",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A8.083.19A_Final Report_Prof Bacon-Shone.pdf,2019-20 (First Round),15,294630,Political Development and Governance,
2019.A3.017.19B,"Housing as an Intergenerational Project-parental Resources, Parental Strategies and the Housing Opportunities of Young People in Hong Kong","Dr LAU Ka Wai, Maggie",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A3.017.19B_Final Report_Dr Lau.pdf,2019-20 (Second Round),21,868278,"Land and Housing, Youth Development, Livelihood Issues",
2019.A3.018.19B,Privacy Challenges and Big Data in Smart City,Dr IP Iam Chong,Lingnan University,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/tc/research_report(PDF)/2019.A3.018.19B_Final Report_Dr Ip.pdf,2019-20 (Second Round),15,268870,Political Development and Governance,
2019.A4.057.19B,"Health Behaviour in School-aged Children Study in Hong Kong: Assessing the Physical, Emotional and Social Well-being","Prof HO Sui Chu, Esther",The Chinese University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/tc/research_report(PDF)/2019.A4.057.19B_Final Report_Prof Ho.pdf,2019-20 (Second Round),18,985000,Youth Development,
2019.A4.058.19B,Hong Kong's Logistics Industry Development: Development Strategies in the New Spatial Context of the Guangdong-Hong Kong-Macao Greater Bay Area,Prof SHEN Jianfa,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A4.058.19B_Final Report_Prof Shen.pdf,2019-20 (Second Round),15,552424,Economic Development,
2019.A5.053.19B,Well-being of Filipino Domestic Workers in Hong Kong: A Public Policy Priority for the Future,Dr Catherine Capio,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.053.19B_Final Report_Dr Capio.pdf,2019-20 (Second Round),15,711620,Livelihood Issues,
2019.A5.055.19B,To Claim or Not to Claim: Towards a Better Understanding of the Take-up Rates of Welfare Schemes Targeting Hong Kong Older Adults and the Stigma Attached to Them,Prof CHOU Kee Lee,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.055.19B_Final Report_Prof Chou.pdf,2019-20 (Second Round),12,898610,Livelihood Issues,
2019.A5.057.19B,Advancing Job- and Health-associated Outcomes for Employees of Small and Medium Enterprises in Hong Kong: A Study on Workplace Supervisor Support with Smartphone-based and Capacity-building Interventions,Dr Lina VYAS,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.057.19B_Final Report_Dr Vyas.pdf,2019-20 (Second Round),33,882395,Livelihood Issues,
2019.A5.058.19B,Hong Kong's Professional Sector under Regionalization,Prof LUI Tai Lok,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.058.19B_Final Report_Prof Lui.pdf,2019-20 (Second Round),21,835130,"Livelihood Issues, Economic Development",
2019.A1.086.19C,Investigation on Incorporating Adjacent Shading Effect into Overall Thermal Transfer Value Regulation for Energy-Efficient Building Design in Hong Kong,"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A1.086.19C_Final Report_Dr Chan.pdf,2019-20 (Third Round),15,333118,Environmental Protection,
2019.A1.087.19C,Correlates of Family Strengths in Hong Kong - Implication for Family Wellbeing Policy,"Dr KWOK LAI Yuk Ching, Sylvia",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A1.087.19C_Final Report_Dr Kwok.pdf,2019-20 (Third Round),25.2,600000,Livelihood Issues,
2019.A2.036.19C,A Study of Development of Esports in Hong Kong,Prof CHUNG Pak Kwong,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A2.036.19C_Final Report_Prof Chung.pdf,2019-20 (Third Round),15,573637,Youth Development,
2019.A3.019.19C.A2,The Greater Bay Area and Career Opportunity for Hong Kong Youth: Integrating Big Data Analysis and Survey Experiments,Dr JIANG Jin,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A3.019.19C.A2_Final Report_Dr Jiang.pdf,2019-20 (Third Round),24,500000,Youth Development,
2019.A4.056.19C,Improving the Effectiveness of Cross-boundary Securities Law Enforcement Between Hong Kong and Mainland China,Prof HUANG Hui,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A4.056.19C_Final Report_Prof Huang.pdf,2019-20 (Third Round),18,364268,Economic Development,
2019.A5.060.19C,"Decomposing Between- and Within-group Income Inequality in Hong Kong: Politics, Welfare, and Identity","Dr WONG Yee Hang, Mathew",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.060.19C_Final Report_Dr Wong.pdf,2019-20 (Third Round),12,360578,Livelihood Issues,
2019.A5.061.19C,Investigating the Effectiveness of an Information Technology Entrepreneurship Training Program for Ethnic Minorities in Hong Kong,Dr LEUNG Chi Hung,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A5.061.19C_Final Report_Dr Leung.pdf,2019-20 (Third Round),24,995026,"Economic Development, Youth Development,  Livelihood Issues",
2019.A6.136.19C,Developing Hong Kong’s Smart Tourism,"Prof LAW Chun Hung, Roberts",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A6.136.19C_Final Report_Prof Law.pdf,2019-20 (Third Round),12,411355,Economic Development,
2019.A8.086.19C,The Contribution of Minority Languages and Dialects to Hong Kong’s Linguistic Landscape,Prof John BACON SHONE,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A8.086.19C_Final Report_Prof Bacon Shone.pdf,2019-20 (Third Round),18,824653,Livelihood Issues,
2019.C5.004.19C,Managing Vibrant Streets: Street Performance Policy in Hong Kong,"Ms LAI Man Yin, Carine",Civic Exchange,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.C5.004.19C_Final Report_Ms Lai.pdf,2019-20 (Third Round),17,1300000,Others,
2019.A1.089.19D,Developing and Testing a Behavioral Theory of Performance Information Use for Hong Kong: Experimental Evidence on Cognitive Biases,"Prof Richard
Mark WALKER",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A1.089.19D_Final Report_Prof Walker.pdf,2019-20 (Fourth Round),15.4,908293,"Environmental Protection, Political Development and Governance, Others",
2019.A2.039.19D,Complex Housing Tenure and Residential Relocation: the Case of the Hong Kong Special Administrative Region,Prof LI Si Ming,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A2.039.19D_Final Report_Prof Li.pdf,2019-20 (Fourth Round),15,653200,Land and Housing,
2019.A4.063.19D,Teachers' Concerns about STEM Education: A Territory-wide Evaluation,Dr LAU Wing Fat,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A4.063.19D_Final Report_Dr Lau.pdf,2019-20 (Fourth Round),15,399625,Application of Innovation and Technology,
2019.A4.064.19D,Regulating Cross-border Data: A Public Policy Framework for Hong Kong,"Prof Bryan Christopher
MERCURIO",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A4.064.19D_Final Report_Prof Mercurio.pdf,2019-20 (Fourth Round),15,536199,Economic Development,
2019.A6.143.19D,Solving Public Housing Problem in Hong Kong by Adopting Modular Integrated Construction (MiC) to Build the Transitional House,Prof LI Heng,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A6.143.19D_Final Report_Prof Li.pdf,2019-20 (Fourth Round),24,878025,Land and Housing,
2019.A6.145.19D,Effects of Environment-related Experiences on Older Person’s Well-being in Hong Kong’s “Double Ageing” Context: A Person–environment Perspective,Dr SUN Yi,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A6.145.19D_Final Report_Dr Sun.pdf,2019-20 (Fourth Round),15,497030,Livelihood Issues,
2019.A8.089.19D,Facilitating Everyday Cross-border Monetary Transactions and the Potential of Digitization in the Greater Bay Area,Dr Tom MCDONALD,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2019.A8.089.19D_Final Report_Dr McDonald.pdf,2019-20 (Fourth Round),18,699962,Economic Development,
2020.A1.093.20A,Tracking the Influence of Misinformation on Perceptions about Flu Vaccine among the Elderly Population in Hong Kong,"Dr CHIA Chih Yun, Stella",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A1.093.20A_Final Report_Dr Chia.pdf,2020-21 (First Round),17,531300,Livelihood Issues,
2020.A1.094.20A,Estimating the Social Benefits of Landfill Restoration and Redevelopment in Hong Kong: Evidence from Housing Market,Dr LI Xin,City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A1.094.20A_Final Report_Dr Li.pdf,2020-21 (First Round),15,308172,"Land and Housing,  Environmental Protection",
2020.A1.095.20A,Influencers' Facilitation of Prosocial Development among University Students,"Dr CHEUNG Chau Kiu, Jacky",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A1.095.20A_Final Report_Dr Cheung.pdf,2020-21 (First Round),12,347530,Youth Development,
2020.A4.065.20A,The Development of Chinese Literacy Proficiency and its Relationship with Learning Motivation in Ethnic-minority Primary School Students,Prof WONG Yu Ka,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A4.065.20A_Final Report_Prof Wong.pdf,2020-21 (First Round),12,473812,Livelihood Issues,
2020.A5.071.20A,Performance-based Regulation of Mass Transit Railway's Reliability Performance,Prof WOO Chi Keung,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A5.071.20A_Final Report_Prof Woo.pdf,2020-21 (First Round),12,586040,Others,
2020.A6.146.20A,Effects of Indoor Environmental Quality on the Satisfaction Level of Elderly in Residential Care Homes,"Dr YUNG Hiu Kwan, Esther",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A6.146.20A_Final Report_Dr Yung.pdf,2020-21 (First Round),15,389942,Livelihood Issues,
2020.A6.148.20A,Data-driven Port State Control (PSC) Policies: Improving Maritime Safety and Promoting Green Shipping,Dr WANG Shuaian,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A6.148.20A_Final Report_Dr Wang.pdf,2020-21 (First Round),12,223100,Others,
2020.A6.150.20A,Chinese Travelers’ Perceptions towards Demand Based Pricing  Strategies of the High Speed Rail: A Conjoint Analysis Approach,Dr Basak DENIZCI GUILLET,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A6.150.20A_Final Report_Dr Denizci Guillet.pdf,2020-21 (First Round),24,518650,Economic Development,
2020.A8.091.20A,Assessment of the e-Cigarette Impact on Vascular Health,"Prof CHENG Wing Keung, Stephen",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.091.20A_Final Report_Prof Cheng.pdf,2020-21 (First Round),30,641406,Livelihood Issues,
2020.A1.101.20B,Development of A Longitudinal Database on Adult Development and Aging,"Dr YEUNG Yuen Lan, Dannii",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A1.101.20B_Final Report_Dr Yeung.pdf,2020-21 (Second Round),27,1146550,Livelihood Issues,
2020.A4.067.20B,"The Influence of Intrapersonal, Interpersonal and Community Protective Factors on Hong Kong Adolescents’ Stress during Political Life Events and Their Mental Health",Dr TO Siu Ming,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A4.067.20B_Final Report_Dr To.pdf,2020-21 (Second Round),15,344655,Youth Development,
2020.A4.068.20B,A Feasibility Study on A Healthcare Voucher Scheme for Screening and Management of Cardiovascular Risk Factors Associated Chronic Diseases in the General Population: A Mixed Methods Evaluation,Prof YEOH Eng Kiong,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A4.068.20B_Final Report_Prof Yeoh.pdf,2020-21 (Second Round),14,987850,Livelihood Issues,
2020.A7.014.20B,Post-processing Technique for Enhancing the Analysis Accuracy of Simulation Results from Air Ventilation Assessments,"Prof FUNG Chi Hung, Jimmy",The Hong Kong University of Science and Technology,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A7.014.20B_Final Report_Prof Fung.pdf,2020-21 (Second Round),15,820373.2,Environmental Protection,
2020.A8.092.20B,An Empirical Study of the Nature of Animal Abuse Cases in Hong Kong from 2013-2019,Ms Amanda Sarah WHITFORT,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.092.20B_Final Report_Ms Whitfort.pdf,2020-21 (Second Round),12,462019.4,Political Development and Governance,
2020.A8.093.20B,Investigating the Long-Term Effects of Rapid Repeat Pregnancy and Early Child Maltreatment among Young Mothers and Their Children in Hong Kong,Dr Patrick IP,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.093.20B_Final Report_Dr Ip.pdf,2020-21 (Second Round),12,547049,Livelihood Issues,
2020.A8.094.20B,A Study of Hong Kong Popular Music Education,"Prof CHU Yiu Wai, Stephen",The University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.094.20B_Final Report_Prof Chu.pdf,2020-21 (Second Round),18,597137.5,Youth Development,
2020.A2.043.20C,Hong Kong Media’s Coverage of Political Polarization and its Effects on People’s Political Attitudes and Behaviors,Dr ZHANG Xinzhi,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A2.043.20C_Final Report_Dr Zhang.pdf,2020-21 (Third Round),11,356972,Political Development and Governance,
2020.A3.025.20C,Cooling Measures in Hong Kong and its Residential Property Market,Dr WANG Yonglin,Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A3.025.20C_Final Report_Dr Wang.pdf,2020-21 (Third Round),15,485070,Land and Housing Supply,
2020.A5.076.20C,Home-School Collaboration as Online Learning Support System: A Case Study of Primary Schools amid Class Suspension in Hong Kong,"Dr LEE Tsz Lok, Trevor",The Education University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A5.076.20C_Final Report_Dr Lee.pdf,2020-21 (Third Round),15,670450,Technology and Education,
2020.A6.154.20C,Policy Recommendations on Port Collaboration and Maritime Industry Sustainable Development of Hong Kong under the Great Bay Area Initiative,Dr YANG Dong,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A6.154.20C_Final Report_Dr Yang.pdf,2020-21 (Third Round),12,581785,Economic Development,
2020.A6.157.20C,"Reducing Greenhouse Gas Emissions from Shipping: Regulatory Challenges, Opportunities and Recommendations for Hong Kong",Dr ZHU Ling,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A6.157.20C_Final Report_Dr Zhu.pdf,2020-21 (Third Round),18,432975,Environmental Protection,
2020.A8.095.20C,"Evaluation of Wastewater Reuse in Hong Kong Using an Integrated Framework for Life-cycle Economic, Environmental and Public Health Impact Assessment",Prof LI Xiaoyan,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.095.20C_Final Report_Prof Li.pdf,2020-21 (Third Round),21,998315,Others,
2020.A8.096.20C,Shoves or Nudges?  Promoting Behavioural Change to Tackle Climate Change in Hong Kong,Dr Terry Antonius VAN GEVELT,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.096.20C_Final Report_Dr VAN GEVELT.pdf,2020-21 (Third Round),12,316250,Environmental Protection,
2020.A1.111.20D,"Accommodating the Needs of Persons with Disabilities in Policies concerning Public Health Emergencies: Law, Ethics and Practice",Dr CHOW Pok Yin Stephenson,City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A1.111.20D_Final Report_Dr Chow.pdf,2020-21 (Fourth Round),15,500000,Political Development and Governance,
2020.A4.071.20D,Evaluating The Impact Of New Town Development: A Piketty’s Framework,Dr LI Jing,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A4.071.20D_Final Report_Dr Li.pdf,2020-21 (Fourth Round),12,392150,Land and Housing Supply,
2020.A4.072.20D,Identifying Social Capital for Family Caregiving in Chronic Organ Failure: A Concept Mapping Study,Dr NG Shek Nam Marques,The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A4.072.20D_Final Report_Dr Ng.pdf,2020-21 (Fourth Round),21,642709,Livelihood Issues,
2020.A8.099.20D,Enhancing Early Recognition and Management of Dementia for the Aging Population of Hong Kong - Roles of Primary Care Providers,Dr LAM Tai Pong,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2020.A8.099.20D_Final Report_Dr Lam.pdf,2020-21 (Fourth Round),12,345000,Livelihood Issues,
