Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2015.A3.006.16A,"Hong Kong Non-Governmental Welfare Organisations in Mainland China: Services, Challenges and Opportunities","Prof MOK Ka Ho, Joshua",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015.A3.006.16A_Final Report_Prof Mok.pdf,2016-17 (First Round),21,930460,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A3.006.16A.zip
2015.A4.012.16A,Impacts of Implementing 'Low-income Working Family Allowance' (LIFA) on Labour Market Situation and Quality of Life of Low Income Working Families in Hong Kong,Prof WONG Hung,The Chinese University of Hong Kong,Completed,Research Report (Chinese Version only),https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A4_012_16A_Final_Report_Prof_Wong.pdf,2016-17 (First Round),16,999299,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A4.012.16A.zip
2015.A4.016.16A,Attitudes and Levels of Support Toward Same-Sex Civil Union and Same-Sex Marriage Legislation among the General Public and Homosexual People in Hong Kong - A Comparative Study,"Prof LAU Tak Fai, Joseph",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A4_016_16A_Final Report_Prof Lau.pdf,2016-17 (First Round),18,981966,Others,
2015.A5.017.16A,"Hong Kong Youths' National Identity: Impacts of Mainland Exchange Programmes, Study Tours and Volunteer Activities","Dr SZETO Sing Ying, Elson",The Hong Kong Institute of Education*,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015.A5.017.16A_Final Report_Dr Szeto.pdf,2016-17 (First Round),15,403880,Youth Development,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A5.017.16A.zip
2015.A6.063.16A,Developing A Globalised Industry under the Context of Territorial Policy - The Development of Aviation MRO Industry in Singapore and Hong Kong,"Dr CHAN Man Hung,
Thomas",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A6_063_16A_Final_Report_Dr_Chan.pdf,2016-17 (First Round),10,611225,Economic Development,
2015.A8.030.16A.A6,"Association Among Father Involvement in Pregnancy and Childbirth, Pregnancy Violence and Health Outcomes: Does It Help Promote Good Health Among Newborns, Mothers, and Fathers?","Prof CHAN Ko Ling,
Edward",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A8_030_16A_A6_Final_Report_Prof_Chan.pdf,2016-17 (First Round),12,649035,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A8.030.16A.A6.zip
2015.A8.031.16A,Financial Impacts of Family Caregiving: An Investigation of the Moderating Effects of Workplace Accommodative Measures and Domestic Helpers,"Dr LOU Weiqun, Vivian",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A8_031_16A_Final_Report_Dr_Lou.pdf,2016-17 (First Round),15,559632,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A8.031.16A.zip
2015.A8.035.16A,"Creative Industries in Flux: A Critical Investigation into the Challenges, Agency and Potential of Cultural and Creative Workers in Hong Kong","Dr TSE Ho Lun, Tommy",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015.A8.035.16A_Final Report_Dr Tse.pdf,2016-17 (First Round),18,500000,"Livelihood Issues, Economic Development",
2015.A8.036.16A,Hongkong-Shenzhen-Guangzhou as a Multi-gateway Trading City-region for Cross-border e-retailing: A Geographical Analysis,"Dr WANG Jixian, James",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A8_036_16A_Final_Report_Dr_Wang.pdf,2016-17 (First Round),12,605337,Economic Development,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A8.036.16A.zip
2015.B16.001.16A,Feasibility Study of Old Age Pension Scheme in Hong Kong: An Employee's Perspective,"Dr KWONG Che Leung,
Charles",The Open University of Hong Kong***,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_B16_001_16A_Final_Report_Dr_Kwong.pdf,2016-17 (First Round),9,345028,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.B16.001.16A.zip
2015.A4.017.16B,Achieving Sustainable Urban Park Management in Hong Kong through the Development of Indicators,"Prof CHAN Chung Shing,
Johnson",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A4_017_16B_Final_Report_Prof_Chan.pdf,2016-17 (Second Round),15,340786,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A4.017.16B.zip
2015.A5.019.16B,Youth Radicalism in Hong Kong: Exploring Changes in Adolescents' Civic Consciousness and Attitudes to the Nation,"Prof Kerry
John KENNEDY",The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A5_019_16B_Final_Report_Prof_Kennedy.pdf,2016-17 (Second Round),10.5,569905,"Political Development and Governance, Youth Development",
2015.A6.066.16B,Exploring the Effects of AIRBNB on the Hong Kong Tourism Industry,"Dr LIN Ming Chu, Pearl",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A6_066_16B_Final_Report_Dr_Lin.pdf,2016-17 (Second Round),15,256818,Economic Development,
2015.A8.038.16B,Performance of the Self-assessment Practice of Service Performance Monitoring System,Dr WANG Xiaolu,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015.A8.038.16B_Final Report_Dr Wang.pdf,2016-17 (Second Round),12,561547,Political Development and Governance,
2015.A8.043.16B,A Study on Population Dynamics in One Belt One Road: Opportunities and Challenges,"Prof YIP Siu Fai, Paul",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015_A8_043_16B_Final Report_Prof Yip.pdf,2016-17 (Second Round),12,617298,Economic Development,
2015.A4.020.16C.A2,"World Values Survey 2017: Generating Data for Trust Maintenance, Repair, and Better Governance in Post-Occupy Hong Kong","Dr CHENG Wai, Edmund",Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2015.A4.020.16C.A2_Final Report_Dr Cheng.pdf,2016-17 (Third Round),18,1025243,Political Development and Governance,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2015.A4.020.16C.A2.zip
2016.A4.022.16C,A Study on the Development of Palliative and End-of-Life Care Services in Hong Kong,"Prof CHAN Yue Lai, Helen",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016_A4_022_16C_Final_Report_Prof_Chan.pdf,2016-17 (Third Round),12,480801,Livelihood Issues,
